attach,attacher,attach,s'attach,l'attach,t'attach,j'attach,m'attach,,,,
babysitter,gardienne,gardien,babysitter,,,,,,,,
bicycle,bicyclette,v�lo,bicyclet,,,,,,,,
big,gros,grand,grosse,grande,,,,,,,
bite,mordre,mordr,mordu,mord,,,,,,,
bring,amener,amen,l'amen,apporter,m'amen,t'amen,j'amen,s'amen,,,
kitty,chat,minou,,,,,,,,,
catch,attraper,attrape-moi,j'attrap,l'attrap,m'attrap,t'attrap,s'attrap,,,,
come,venir,ven,viens,vient,venu,,,,,,
do,faire,fair,fait,,,,,,,,
go,aller,j'vais,vais,vas,allon,allez,allez-vous,vont,irai,iras,ira
have,avoir,j'ai,avon,m'av,l'av,avez,j'aur,l'aur,t'aur,m'aur,
love,aimer,aim,j'aim,m'aim,l'aim,t'aim,s'aim,,,,
open,ouvrir,ouvr,j'ouvr,m'ouvr,l'ouvr,t'ouvr,s'ouvr,,,,
picture,image,imag,l'imag,,,,,,,,
shoe,souli,soul,chaussur,,,,,,,,
sleep,dormir,dorm,dor,,,,,,,,
sock,bas,chausset,,,,,,,,,
sometimes,tout+à+l´heur,tout_à_l´heur,tout à l´heur,tout+à+l´heure,tout_à_l´heure,tout à l´heure,tantôt,parfois,,,
take off,enlever,enlev,j'enlev,l'enlev,s'enlev,,,,,,
today,aujourd´hui,aujourd'hui,,,,,,,,,
turn on,allumer,allum,j'allum,t'allum,s'allum,l'allum,,,,,
