language,uni_lemma,lexical_class,category,definition,word_clean
French (French),above,function_words,prepositions,au dessus de,au dessus de
French (French),another,function_words,quantifiers,un autre,un autre
French (French),awake,adjectives,descriptive_words,être réveillé,être réveillé
French (French),bathroom,nouns,furniture_rooms,salle de bain,salle de bain
French (French),because,function_words,connecting_words,parce que,parce que
French (French),camera,nouns,household,appareil photo,appareil photo
French (French),chase,verbs,action_words,courir après,courir après
French (French),down,function_words,prepositions,en bas,en bas
French (French),far,function_words,prepositions,au loin,au loin
French (French),firetruck,nouns,vehicles,camion de pompier,camion de pompier
French (French),get up,verbs,action_words,être debout,être debout
French (French),hers,function_words,pronouns,à elle/sa,à elle
French (French),high chair,nouns,furniture_rooms,chaise haute,chaise haute
French (French),his,function_words,pronouns,à lui/son,à lui
French (French),inside,function_words,prepositions,à l'intérieur de,à lintérieur de
French (French),juice,nouns,food_drink,jus de fruit,jus de fruit
French (French),kick,verbs,action_words,donner un coup de pied,donner un coup de pied
French (French),kitty,nouns,animals,bébé chat,bébé chat
French (French),knock,verbs,action_words,frapper à la porte,frapper à la porte
French (French),lawn mower,nouns,outside,tondeuse à gazon,tondeuse à gazon
French (French),little (amount),function_words,quantifiers,un peu,un peu
French (French),mine,function_words,pronouns,à moi,à moi
French (French),myself,function_words,pronouns,moi-même,moi-même
French (French),paint (action),verbs,action_words,faire de la peinture,faire de la peinture
French (French),peas,nouns,food_drink,petits pois,petits pois
French (French),potato,nouns,food_drink,pomme de terre,pomme de terre
French (French),pretend,verbs,action_words,faire semblant,faire semblant
French (French),puppy,nouns,animals,bébé chien,bébé chien
French (French),raisin,nouns,food_drink,raisins secs,raisins secs
French (French),same,function_words,quantifiers,le/la même,le même
French (French),sit,verbs,action_words,s'asseoir,asseoir
French (French),snowman,nouns,outside,bonhomme de neige,bonhomme de neige
French (French),t-shirt,nouns,clothing,tee-shirt,tee-shirt
French (French),there,function_words,prepositions,là-bas,là-bas
French (French),toe,nouns,body_parts,doigt de pied,doigt de pied
French (French),toothbrush,nouns,household,brosse à dent,brosse à dent
French (French),up,function_words,prepositions,en haut,en haut
French (French),wake,verbs,action_words,se réveiller,se réveiller
French (French),washing machine,nouns,furniture_rooms,machine à laver,machine à laver
French (French),same,function_words,quantifiers,le/la même,la même
French (French),some,function_words,quantifiers,du/de la/des,de la
