word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
again,1,0.0000018586272689,1.0000018586292123,15009,English (British)
aeroplane,1,0.0000639230590824,1.0000639258191584,551,English (British)
all,1,0.0000007338538712,1.0000007338541654,49585,English (British)
animal,1,0.0000199536781897,1.0000199538974155,1523,English (British)
another,1,0.0000029281919711,1.0000029281965712,14222,English (British)
apple,1,0.0000080167281904,1.0000080167609517,3736,English (British)
arm,1,0.0000193163866269,1.0000193165858899,1528,English (British)
asleep,1,0.0000236686476265,1.0000236689388440,1365,English (British)
away,1,0.0000024763224927,1.0000024763256763,11014,English (British)
back,1,0.0000012832478480,1.0000012832487117,26533,English (British)
bad,1,0.0000150674579870,1.0000150675729684,2576,English (British)
ball,1,0.0000030641090840,1.0000030641139346,8382,English (British)
balloon,1,0.0000156558107897,1.0000156559339271,1810,English (British)
banana,1,0.0000154214206578,1.0000154215484707,1615,English (British)
bin,1,0.0000172942834024,1.0000172944374253,1613,English (British)
bathroom,1,0.0000198906412489,1.0000198908408275,1059,English (British)
bath,1,0.0000138060792905,1.0000138061842276,2768,English (British)
beach,1,0.0000374270418078,1.0000374277474711,991,English (British)
bear,1,0.0000061912110176,1.0000061912326412,5220,English (British)
bed,1,0.0000048893107471,1.0000048893256301,7584,English (British)
bedroom,1,0.0000266640392065,1.0000266644226325,1119,English (British)
bee,1,0.0000152325530957,1.0000152326842107,1475,English (British)
bib,1,0.0000505525648704,1.0000505540667510,639,English (British)
big,1,0.0000013498683421,1.0000013498693394,25182,English (British)
bird,1,0.0000109115439947,1.0000109116046927,2517,English (British)
biscuit,1,0.0000438596210578,1.0000438605852098,834,English (British)
bite,1,0.0000098765386003,1.0000098765904557,2541,English (British)
blanket,1,0.0000246108643111,1.0000246111750244,957,English (British)
blow,1,0.0000127764928237,1.0000127765804963,2110,English (British)
blue,1,0.0000028954049449,1.0000028954092455,9232,English (British)
boat,1,0.0000097556170592,1.0000097556684300,2544,English (British)
book,1,0.0000028323090153,1.0000028323130998,15413,English (British)
boot,1,0.0000892882303664,1.0000892923078715,262,English (British)
bottle,1,0.0000106484911415,1.0000106485482168,3023,English (British)
bowl,1,0.0000194530629256,1.0000194535984450,1967,English (British)
box,1,0.0000028576669224,1.0000028576712992,8714,English (British)
bread,1,0.0000084044002971,1.0000084044362274,2959,English (British)
break,1,0.0000095504421847,1.0000095504887752,2940,English (British)
