language,uni_lemma,lexical_class,category,definition,word_clean
French (French),a,function_words,quantifiers,un/une,un
French (French),a lot,function_words,quantifiers,plein/beaucoup,plein
French (French),above,function_words,prepositions,au dessus de,au dessus de
French (French),again,function_words,quantifiers,encore,encore
French (French),airplane,nouns,vehicles,avion,avion
French (French),all,function_words,quantifiers,tous/tout,tous
French (French),all gone,adjectives,descriptive_words,parti,parti
French (French),also,function_words,quantifiers,aussi,aussi
French (French),and,function_words,connecting_words,et,et
French (French),animal,nouns,animals,animal,animal
French (French),another,function_words,quantifiers,un autre,un autre
French (French),ant,nouns,animals,fourmi,fourmi
French (French),apple,nouns,food_drink,pomme,pomme
French (French),arm,nouns,body_parts,bras,bras
French (French),armchair,nouns,furniture_rooms,fauteuil,fauteuil
French (French),asleep,adjectives,descriptive_words,endormi,endormi
French (French),at,function_words,prepositions,à,à
French (French),awake,adjectives,descriptive_words,être réveillé,être réveillé
French (French),bag,nouns,household,sac,sac
French (French),ball,nouns,toys,balle,balle
French (French),ball,nouns,toys,ballon,ballon
French (French),banana,nouns,food_drink,banane,banane
French (French),basket,nouns,household,panier,panier
French (French),bath,nouns,furniture_rooms,baignoire,baignoire
French (French),bathroom,nouns,furniture_rooms,salle de bain,salle de bain
French (French),beads,nouns,clothing,perles,perles
French (French),bear,nouns,animals,ours,ours
French (French),beautiful,adjectives,descriptive_words,beau/belle,beau
French (French),beautiful,adjectives,descriptive_words,joli,joli
French (French),because,function_words,connecting_words,parce que,parce que
French (French),bed,nouns,furniture_rooms,lit,lit
French (French),bedroom,nouns,furniture_rooms,chambre,chambre
French (French),bee,nouns,animals,abeille,abeille
French (French),behind,function_words,prepositions,derrière,derrière
French (French),belly button,nouns,body_parts,nombril,nombril
French (French),bib,nouns,clothing,bavoir/bavette,bavoir
French (French),bicycle,nouns,vehicles,vélo,vélo
French (French),big,adjectives,descriptive_words,grand,grand
French (French),big,adjectives,descriptive_words,grand/e,grand
French (French),bird,nouns,animals,oiseau,oiseau
French (French),bite,verbs,action_words,mordre,mordre
French (French),black,adjectives,descriptive_words,noir,noir
French (French),blanket,nouns,household,couverture,couverture
French (French),blow,verbs,action_words,souffler,souffler
French (French),blue,adjectives,descriptive_words,bleu,bleu
French (French),boat,nouns,vehicles,bateau,bateau
French (French),book,nouns,toys,livre,livre
French (French),boots,nouns,clothing,bottes,bottes
French (French),bottle,nouns,household,biberon,biberon
French (French),bottle,nouns,household,bouteille,bouteille
French (French),bowl,nouns,household,bol,bol
French (French),box,nouns,household,boîte,boîte
French (French),bread,nouns,food_drink,pain,pain
French (French),break,verbs,action_words,casser,casser
French (French),bring,verbs,action_words,apporter,apporter
French (French),broken,adjectives,descriptive_words,cassé,cassé
French (French),broom,nouns,household,balai,balai
French (French),brown,adjectives,descriptive_words,marron,marron
French (French),brush (object),nouns,household,brosse,brosse
French (French),bubbles,nouns,toys,bulles,bulles
French (French),bucket,nouns,household,seau,seau
French (French),build,verbs,action_words,construire,construire
French (French),bunny,nouns,animals,lapin,lapin
French (French),bus,nouns,vehicles,bus,bus
French (French),butt,nouns,body_parts,fesses,fesses
French (French),butter,nouns,food_drink,beurre,beurre
French (French),butterfly,nouns,animals,papillon,papillon
French (French),button,nouns,clothing,boutons,boutons
French (French),buy,verbs,action_words,acheter,acheter
French (French),cake,nouns,food_drink,gâteau,gâteau
French (French),camera,nouns,household,appareil photo,appareil photo
French (French),candy,nouns,food_drink,bonbons,bonbons
French (French),car,nouns,vehicles,voiture,voiture
French (French),carrots,nouns,food_drink,carotte,carotte
French (French),carry,verbs,action_words,porter,porter
French (French),cat,nouns,animals,chat,chat
French (French),catch,verbs,action_words,attraper,attraper
French (French),cereal,nouns,food_drink,céréales,céréales
French (French),chair,nouns,furniture_rooms,chaise,chaise
French (French),chalk,nouns,toys,craie,craie
French (French),chase,verbs,action_words,courir après,courir après
French (French),cheek,nouns,body_parts,joue,joue
French (French),cheese,nouns,food_drink,fromage,fromage
French (French),chicken (animal),nouns,animals,poule,poule
French (French),chicken (food),nouns,food_drink,poulet,poulet
French (French),chin,nouns,body_parts,menton,menton
French (French),chips,nouns,food_drink,chips,chips
French (French),chocolate,nouns,food_drink,chocolat,chocolat
French (French),clean (action),verbs,action_words,nettoyer,nettoyer
French (French),clean (description),adjectives,descriptive_words,propre,propre
French (French),clementine,nouns,food_drink,clémentine,clémentine
French (French),climb,verbs,action_words,grimper,grimper
French (French),clock,nouns,household,horloge,horloge
French (French),close,verbs,action_words,fermer,fermer
French (French),cloud,nouns,outside,nuage,nuage
French (French),coat,nouns,clothing,manteau,manteau
French (French),coffee,nouns,food_drink,café,café
French (French),cold,adjectives,descriptive_words,froid,froid
French (French),comb (object),nouns,household,peigne,peigne
French (French),compote,nouns,food_drink,compote,compote
French (French),cook,verbs,action_words,cuisiner,cuisiner
French (French),couch,nouns,furniture_rooms,canapé,canapé
French (French),cover,verbs,action_words,couvrir,couvrir
French (French),cow,nouns,animals,vache,vache
French (French),cradle,nouns,furniture_rooms,berceau,berceau
French (French),crocodile,nouns,animals,crocodile,crocodile
French (French),cry,verbs,action_words,pleurer,pleurer
French (French),cup,nouns,household,tasse,tasse
French (French),cut,verbs,action_words,couper,couper
French (French),cute,adjectives,descriptive_words,mignon/e,mignon
French (French),dance,verbs,action_words,danser,danser
French (French),dark,adjectives,descriptive_words,sombre,sombre
French (French),deer,nouns,animals,biche,biche
French (French),diaper,nouns,clothing,couche,couche
French (French),dirty,adjectives,descriptive_words,sale,sale
French (French),dish,nouns,household,plat,plat
French (French),do,function_words,helping_verbs,fait,fait
French (French),dog,nouns,animals,chien,chien
French (French),doll,nouns,toys,poupée,poupée
French (French),donkey,nouns,animals,âne,âne
French (French),door,nouns,furniture_rooms,porte,porte
French (French),down,function_words,prepositions,en bas,en bas
French (French),draw,verbs,action_words,dessiner,dessiner
French (French),drawer,nouns,furniture_rooms,tiroir,tiroir
French (French),dress (object),nouns,clothing,robe,robe
French (French),drink (action),verbs,action_words,boire,boire
French (French),drink (beverage),nouns,food_drink,boisson,boisson
French (French),drive,verbs,action_words,conduire,conduire
French (French),dry (action),verbs,action_words,sécher,sécher
French (French),dry (description),adjectives,descriptive_words,sec/che,sec
French (French),duck,nouns,animals,canard,canard
French (French),dump,verbs,action_words,jeter,jeter
French (French),ear,nouns,body_parts,oreille,oreille
French (French),eat,verbs,action_words,manger,manger
French (French),egg,nouns,food_drink,œuf,œuf
French (French),elephant,nouns,animals,éléphant,éléphant
French (French),empty,adjectives,descriptive_words,vide,vide
French (French),eye,nouns,body_parts,yeux,yeux
French (French),face,nouns,body_parts,figure,figure
French (French),face,nouns,body_parts,figure/visage,figure
French (French),fall,verbs,action_words,tomber,tomber
French (French),far,function_words,prepositions,loin,loin
French (French),far,function_words,prepositions,au loin,au loin
French (French),fast,adjectives,descriptive_words,vite,vite
French (French),feed,verbs,action_words,nourrir,nourrir
French (French),find,verbs,action_words,trouver,trouver
French (French),finger,nouns,body_parts,doigt,doigt
French (French),finish,verbs,action_words,finir,finir
French (French),firetruck,nouns,vehicles,camion de pompier,camion de pompier
French (French),first,adjectives,descriptive_words,premier/ère,premier
French (French),flower,nouns,outside,fleur,fleur
French (French),food,nouns,food_drink,nourriture,nourriture
French (French),foot,nouns,body_parts,pied,pied
French (French),fork,nouns,household,fourchette,fourchette
French (French),frog,nouns,animals,grenouille,grenouille
French (French),full,adjectives,descriptive_words,plein/e,plein
French (French),garage,nouns,furniture_rooms,garage,garage
French (French),garden,nouns,outside,jardin,jardin
French (French),get up,verbs,action_words,être debout,être debout
French (French),giraffe,nouns,animals,girafe,girafe
French (French),give,verbs,action_words,donner,donner
French (French),glass,nouns,household,verre,verre
French (French),glasses,nouns,household,lunettes,lunettes
French (French),gloves,nouns,clothing,gants,gants
French (French),glue,nouns,toys,colle,colle
French (French),go,verbs,action_words,aller,aller
French (French),goat,nouns,animals,chèvre,chèvre
French (French),good,adjectives,descriptive_words,bien,bien
French (French),good,adjectives,descriptive_words,bon/ne,bon
French (French),goose,nouns,animals,oie,oie
French (French),grapes,nouns,food_drink,raisin,raisin
French (French),grass,nouns,outside,herbe,herbe
