word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
again,1,0.0000025818233458,1.0000025818274700,15009,English (British)
aeroplane,1,0.0000482163827086,1.0000482176694252,551,English (British)
all,1,0.0000015053391300,1.0000015053403368,49585,English (British)
animal,1,0.0000248406024115,1.0000248409302706,1523,English (British)
another,1,0.0000036805187479,1.0000036805260473,14222,English (British)
apple,1,0.0000099400112632,1.0000099400637010,3736,English (British)
arm,1,0.0000174780320110,1.0000174782039493,1528,English (British)
asleep,1,0.0000208802591963,1.0000208804894959,1365,English (British)
away,1,0.0000031190375936,1.0000031190427654,11014,English (British)
back,1,0.0000015099262228,1.0000015099274244,26533,English (British)
bad,1,0.0000127550306858,1.0000127551163545,2576,English (British)
ball,1,0.0000052872900130,1.0000052873060365,8382,English (British)
balloon,1,0.0000173492033933,1.0000173493643743,1810,English (British)
banana,1,0.0000224431927321,1.0000224434553766,1615,English (British)
bin,1,0.0000212971651606,1.0000212974451728,1613,English (British)
bathroom,1,0.0000323964731156,1.0000323970099481,1059,English (British)
bath,1,0.0000142789998080,1.0000142791023370,2768,English (British)
beach,1,0.0000293449179081,1.0000293455739333,991,English (British)
bear,1,0.0000044410135294,1.0000044410256126,5220,English (British)
bed,1,0.0000036001168344,1.0000036001236952,7584,English (British)
bedroom,1,0.0000338287990383,1.0000338294443605,1119,English (British)
bee,1,0.0000170857249519,1.0000170858836495,1475,English (British)
bib,1,0.0000379507273209,1.0000379514620532,639,English (British)
big,1,0.0000025499395528,1.0000025499436060,25182,English (British)
bird,1,0.0000157887716038,1.0000157889081311,2517,English (British)
biscuit,1,0.0000337432289943,1.0000337438048108,834,English (British)
bite,1,0.0000101353171706,1.0000101353699355,2541,English (British)
blanket,1,0.0000285425781325,1.0000285430885425,957,English (British)
blow,1,0.0000136944408791,1.0000136945485654,2110,English (British)
blue,1,0.0000039712796240,1.0000039712885860,9232,English (British)
boat,1,0.0000099015258481,1.0000099015873383,2544,English (British)
book,1,0.0000021883106408,1.0000021883137831,15413,English (British)
boot,1,0.0001097161632255,1.0001097225958797,262,English (British)
bottle,1,0.0000124213078877,1.0000124213871537,3023,English (British)
bowl,1,0.0000177580510787,1.0000177582449634,1967,English (British)
box,1,0.0000032655672719,1.0000032655739142,8714,English (British)
bread,1,0.0000110909927128,1.0000110910566224,2959,English (British)
break,1,0.0000127247600171,1.0000127248617892,2940,English (British)
bring,1,0.0000081029645430,1.0000081029998600,5164,English (British)
broken,1,0.0000122790472826,1.0000122791238246,2733,English (British)
broom,1,0.0000771943259227,1.0000771973148386,282,English (British)
brush,1,0.0000131502039144,1.0000131502954541,2162,English (British)
bubble,1,0.0000853493059519,1.0000853530423530,442,English (British)
bucket,1,0.0000364071985055,1.0000364079275055,896,English (British)
bump,1,0.0000298034764011,1.0000298039781057,1008,English (British)
bunny,1,0.0000120936727731,1.0000120937475077,2386,English (British)
bus,1,0.0000102649417701,1.0000102650127367,3774,English (British)
butter,1,0.0000179297727589,1.0000179299374263,1358,English (British)
butterfly,1,0.0000374893692498,1.0000374902404401,882,English (British)
button,1,0.0000186775028969,1.0000186776845577,1602,English (British)
cake,1,0.0000087768034334,1.0000087768434964,3506,English (British)
car,1,0.0000027682504594,1.0000027682544850,13476,English (British)
careful,1,0.0000036939577520,1.0000036939654036,6107,English (British)
carrot,1,0.0000343579550081,1.0000343585987539,711,English (British)
carry,1,0.0000243429765377,1.0000243433052800,1148,English (British)
cat,1,0.0000059479011783,1.0000059479204557,5835,English (British)
catch,1,0.0000132456137869,1.0000132457073903,2813,English (British)
cereal,1,0.0000363939002762,1.0000363945731476,1034,English (British)
chair,1,0.0000023220003024,1.0000023220034497,6382,English (British)
cheek,1,0.0002008356285207,1.0002008579052468,159,English (British)
cheese,1,0.0000089204337348,1.0000089204749922,4215,English (British)
