language,uni_lemma,lexical_class,category,definition,word_clean
Spanish (European),a,function_words,quantifiers,uno/a,uno
Spanish (European),a,function_words,articles,un,un
Spanish (European),a,function_words,articles,uno,uno
Spanish (European),a,function_words,articles,una,una
Spanish (European),above,function_words,locations,encima,encima
Spanish (European),afraid,adjectives,descriptive_words,asustado,asustado
Spanish (European),afraid,adjectives,descriptive_words,miedo,miedo
Spanish (European),again,function_words,articles,otra vez,otra vez
Spanish (European),airplane,nouns,vehicles,avión,avión
Spanish (European),all,function_words,quantifiers,todo/a/os/as,todo
Spanish (European),all,function_words,articles,todas/os,todas
Spanish (European),almost,function_words,locations,casi,casi
Spanish (European),alone,adjectives,descriptive_words,solo,solo
Spanish (European),also,function_words,articles,también,también
Spanish (European),ambulance,nouns,vehicles,ambulancia,ambulancia
Spanish (European),and,function_words,connecting_words,y,y
Spanish (European),angry,adjectives,descriptive_words,enfadado,enfadado
Spanish (European),animal,nouns,animals,animal,animal
Spanish (European),ant,nouns,animals,hormiga,hormiga
Spanish (European),any,function_words,articles,alguno/a,alguno
Spanish (European),apple,nouns,food_drink,manzana,manzana
Spanish (European),applesauce,nouns,food_drink,potito,potito
Spanish (European),arm,nouns,body_parts,brazos,brazos
Spanish (European),back (location),function_words,locations,detrás,detrás
Spanish (European),bad,adjectives,descriptive_words,malo,malo
Spanish (European),ball,nouns,toys,balón,balón
Spanish (European),ball,nouns,toys,fútbol,fútbol
Spanish (European),ball,nouns,toys,pelota,pelota
Spanish (European),balloon,nouns,toys,globo,globo
Spanish (European),bath,nouns,household,baño,baño
Spanish (European),bathe,verbs,action_words,bañar(se),bañar
Spanish (European),bathtub,nouns,household,bañera,bañera
Spanish (European),battery,nouns,household,pila,pila
Spanish (European),be,verbs,action_words,"estar [estoy, estás…]",estar
Spanish (European),be,verbs,action_words,"ser (eres, es…)",ser
Spanish (European),be,verbs,action_words,"ser [soy, eres, es...]",Ser
Spanish (European),be,function_words,states,estar (estoy jugando),estar
Spanish (European),bear,nouns,animals,oso,oso
Spanish (European),beard,nouns,body_parts,barba,barba
Spanish (European),because,function_words,connecting_words,porque,porque
Spanish (European),bed,nouns,household,cama,cama
Spanish (European),bee,nouns,animals,abeja,abeja
Spanish (European),belly button,nouns,body_parts,ombligo,ombligo
Spanish (European),below,function_words,locations,debajo/abajo,debajo
Spanish (European),belt,nouns,clothing,cinturón,cinturón
Spanish (European),beside,function_words,locations,al lado,al lado
Spanish (European),between,function_words,locations,entre,entre
Spanish (European),bib,nouns,clothing,babero,babero
Spanish (European),bicycle,nouns,vehicles,bici,bici
Spanish (European),big,adjectives,descriptive_words,grande,grande
Spanish (European),bird,nouns,animals,pájaro,pájaro
Spanish (European),bite,verbs,action_words,morder,morder
Spanish (European),black,adjectives,descriptive_words,negro,negro
Spanish (European),blender,nouns,household,batidora,batidora
Spanish (European),block,nouns,toys,cubo,cubo
Spanish (European),blue,adjectives,descriptive_words,azul,azul
Spanish (European),boat,nouns,vehicles,barco,barco
Spanish (European),book,nouns,toys,cuento/libro,cuento
Spanish (European),boots,nouns,clothing,bota/s,bota
Spanish (European),bottle,nouns,food_drink,biberón,biberón
Spanish (European),bottle,nouns,household,botella,botella
Spanish (European),box,nouns,toys,caja,caja
Spanish (European),bracelet,nouns,toys,pulsera,pulsera
Spanish (European),bread,nouns,food_drink,pan,pan
Spanish (European),break,verbs,action_words,romper(se),romper
Spanish (European),breakfast (action),verbs,action_words,desayunar,desayunar
Spanish (European),breast,nouns,body_parts,teta,teta
Spanish (European),bring,verbs,action_words,traer,traer
Spanish (European),broken,adjectives,descriptive_words,roto,roto
Spanish (European),broom,nouns,household,escoba,escoba
Spanish (European),brush (object),nouns,household,cepillo,cepillo
Spanish (European),bug,nouns,animals,bicho,bicho
Spanish (European),bull,nouns,animals,toro,toro
Spanish (European),bun,nouns,food_drink,bollo,bollo
Spanish (European),bunny,nouns,animals,conejo,conejo
Spanish (European),burn,verbs,action_words,quemar,quemar
Spanish (European),bus,nouns,vehicles,autobús,autobús
Spanish (European),bus,nouns,vehicles,autobús/bus,autobús
Spanish (European),but,function_words,connecting_words,pero,pero
Spanish (European),butt,nouns,body_parts,culo,culo
Spanish (European),butterfly,nouns,animals,mariposa,mariposa
Spanish (European),button,nouns,clothing,botón,botón
Spanish (European),buy,verbs,action_words,comprar,comprar
Spanish (European),by,function_words,locations,por,por
Spanish (European),cake,nouns,food_drink,bizcocho,bizcocho
Spanish (European),cake,nouns,food_drink,tarta,tarta
Spanish (European),call,verbs,action_words,llamar,llamar
Spanish (European),can,verbs,action_words,poder,poder
Spanish (European),can,function_words,states,poder (puedes correr),poder
Spanish (European),can (auxiliary),verbs,action_words,poder [puedes…],poder
Spanish (European),candy,nouns,food_drink,caramelo,caramelo
Spanish (European),car,nouns,vehicles,coche,coche
Spanish (European),cards,nouns,toys,cartas,cartas
Spanish (European),care,verbs,action_words,cuidar,cuidar
Spanish (European),carrot,nouns,food_drink,zanahoria,zanahoria
Spanish (European),cat,nouns,animals,gato,gato
Spanish (European),CD,nouns,household,CD/compact,cd
Spanish (European),cell phone,nouns,household,móvil,móvil
Spanish (European),cereal,nouns,food_drink,cereales,cereales
Spanish (European),chair,nouns,household,silla,silla
Spanish (European),cheese,nouns,food_drink,queso (quesitos),queso
Spanish (European),chick,nouns,animals,pollito,pollito
Spanish (European),chicken (animal),nouns,animals,gallina,gallina
Spanish (European),chicken (food),nouns,food_drink,pollo,pollo
Spanish (European),chin,nouns,body_parts,barbilla,barbilla
Spanish (European),chips,nouns,food_drink,gusanitos,gusanitos
Spanish (European),chocolate,nouns,food_drink,chocolate,chocolate
Spanish (European),clean (description),adjectives,descriptive_words,limpio,limpio
Spanish (European),climb,verbs,action_words,subir(se),subir
Spanish (European),clock,nouns,household,reloj,reloj
Spanish (European),close,verbs,action_words,cerrar,cerrar
Spanish (European),clothing,nouns,clothing,ropa,ropa
Spanish (European),clown,nouns,toys,payaso,payaso
Spanish (European),coat,nouns,clothing,abrigo,abrigo
Spanish (European),coin,nouns,household,monedas,monedas
Spanish (European),cold,adjectives,descriptive_words,frío,frío
Spanish (European),comb (action),verbs,action_words,peinar(se),peinar
Spanish (European),comb (object),nouns,household,peine,peine
Spanish (European),come,verbs,action_words,"venir [ven, vente]",venir
Spanish (European),cook (action),verbs,action_words,cocinar,cocinar
Spanish (European),cookie,nouns,food_drink,galleta,galleta
Spanish (European),cool (action),verbs,action_words,enfriar(se),enfriar
Spanish (European),couch,nouns,household,sofá,sofá
Spanish (European),cough,verbs,action_words,toser,toser
Spanish (European),cover,verbs,action_words,tapar,tapar
Spanish (European),cow,nouns,animals,vaca,vaca
Spanish (European),crane,nouns,vehicles,grúa,grúa
Spanish (European),crib,nouns,household,cuna,cuna
Spanish (European),crocodile,nouns,animals,cocodrilo,cocodrilo
Spanish (European),croquette,nouns,food_drink,croqueta/s,croqueta
Spanish (European),cry,verbs,action_words,llorar,llorar
Spanish (European),cup,nouns,household,taza,taza
Spanish (European),cushion,nouns,household,cojín,cojín
Spanish (European),cut (action),verbs,action_words,cortar,cortar
Spanish (European),cute,adjectives,descriptive_words,guapo,guapo
Spanish (European),dance,verbs,action_words,bailar,bailar
Spanish (European),diaper,nouns,clothing,pañal,pañal
Spanish (European),difficult,adjectives,descriptive_words,difícil,difícil
Spanish (European),dinosaur,nouns,animals,dinosaurio,dinosaurio
Spanish (European),dirty,adjectives,descriptive_words,sucio,sucio
Spanish (European),do,verbs,action_words,"hacer [haz, haces...]",hacer
Spanish (European),dog,nouns,animals,perro,perro
Spanish (European),doll,nouns,toys,muñeca,muñeca
Spanish (European),donkey,nouns,animals,burro,burro
Spanish (European),door,nouns,household,puerta,puerta
Spanish (European),dove,nouns,animals,paloma,paloma
Spanish (European),down,function_words,locations,abajo (debajo),abajo
Spanish (European),draw,verbs,action_words,dibujar,dibujar
Spanish (European),drawer,nouns,household,cajón,cajón
Spanish (European),dream,adjectives,descriptive_words,sueño,sueño
Spanish (European),dress,nouns,clothing,vestido,vestido
Spanish (European),dress (action),verbs,action_words,vestir(se),vestir
Spanish (European),drink,verbs,action_words,beber,beber
Spanish (European),drive,verbs,action_words,conducir,conducir
Spanish (European),drum,nouns,toys,tambor,tambor
Spanish (European),duck,nouns,animals,pato,pato
Spanish (European),ear,nouns,body_parts,oreja/s,oreja
Spanish (European),earrings,nouns,clothing,pendientes,pendientes
Spanish (European),eat,verbs,action_words,comer(se),comer
Spanish (European),eat dinner,verbs,action_words,cenar,cenar
Spanish (European),egg,nouns,food_drink,huevo,huevo
Spanish (European),either,function_words,articles,tampoco,tampoco
Spanish (European),elephant,nouns,animals,elefante,elefante
Spanish (European),empty,adjectives,descriptive_words,vacío,vacío
Spanish (European),enter,verbs,action_words,entrar,entrar
Spanish (European),everything,function_words,articles,todo,todo
Spanish (European),eye,nouns,body_parts,ojos,ojos
Spanish (European),eyebrow,nouns,body_parts,cejas,cejas
Spanish (European),face,nouns,body_parts,cara,cara
Spanish (European),fall,verbs,action_words,caer(se),caer
Spanish (European),faucet,nouns,household,grifo,grifo
Spanish (European),finger,nouns,body_parts,dedos,dedos
Spanish (European),finger,nouns,body_parts,dedo/s,dedo
Spanish (European),fingernail,nouns,body_parts,uña,uña
Spanish (European),finish,verbs,action_words,terminar/acabar(se),terminar
Spanish (European),fish,nouns,food_drink,pescado,pescado
Spanish (European),fish (animal),nouns,animals,pez,pez
Spanish (European),fit (action),verbs,action_words,caber,caber
Spanish (European),flood (action),verbs,action_words,mojar(se),mojar
Spanish (European),floor,nouns,household,suelo,suelo
Spanish (European),flower,nouns,household,flor,flor
Spanish (European),fly (action),verbs,action_words,volar,volar
Spanish (European),fly (animal),nouns,animals,mosca,mosca
Spanish (European),food,nouns,food_drink,comida,comida
Spanish (European),foot,nouns,body_parts,pie/s,pie
Spanish (European),for,function_words,locations,para,para
Spanish (European),for me,function_words,pronouns,(para) mí,para mí
Spanish (European),fork,nouns,household,tenedor,tenedor
Spanish (European),four,function_words,articles,cuatro,cuatro
Spanish (European),fox,nouns,animals,zorro,zorro
Spanish (European),frog,nouns,animals,rana,rana
Spanish (European),front,function_words,locations,delante,delante
Spanish (European),fruit,nouns,food_drink,fruta,fruta
Spanish (European),full,adjectives,descriptive_words,lleno,lleno
Spanish (European),garage,nouns,household,garaje/cochera,garaje
Spanish (European),gift (action),verbs,action_words,regalar,regalar
Spanish (European),giraffe,nouns,animals,jirafa,jirafa
Spanish (European),give,verbs,action_words,dar,dar
Spanish (European),glass,nouns,household,vaso,vaso
Spanish (European),glasses,nouns,clothing,gafas,gafas
Spanish (European),gloves,nouns,clothing,guantes,guantes
Spanish (European),go,verbs,action_words,"ir(se) [voy, vas, vamos…]",ir
Spanish (European),go,function_words,states,ir (vamos a dormir),ir
Spanish (European),goal,nouns,toys,gol,gol
Spanish (European),good,adjectives,descriptive_words,bueno,bueno
Spanish (European),grape,nouns,food_drink,uvas,uvas
Spanish (European),green,adjectives,descriptive_words,verde,verde
