"","language","uni_lemma","lexical_class","category","definition","word_clean"
"1","English (British)","again","function_words","prepositions","again","again"
"2","English (British)","airplane","nouns","vehicles","aeroplane / plane","aeroplane "
"3","English (British)","all","function_words","prepositions","all","all"
"4","English (British)","all gone","adjectives","descriptive_words","all gone","all gone"
"5","English (British)","animal","nouns","animals","animal","animal"
"6","English (British)","another","function_words","prepositions","another","another"
"7","English (British)","apple","nouns","food_drink","apple","apple"
"8","English (British)","arm","nouns","body_parts","arm","arm"
"9","English (British)","asleep","adjectives","descriptive_words","asleep","asleep"
"10","English (British)","away","function_words","prepositions","away","away"
"11","English (British)","back","function_words","prepositions","back","back"
"12","English (British)","bad","adjectives","descriptive_words","bad","bad"
"13","English (British)","ball","nouns","toys","ball","ball"
"14","English (British)","balloon","nouns","toys","balloon","balloon"
"15","English (British)","banana","nouns","food_drink","banana","banana"
"16","English (British)","basket","nouns","household","bin","bin"
"17","English (British)","bathroom","nouns","furniture_rooms","bathroom","bathroom"
"18","English (British)","bathtub","nouns","clothing","bath / bathtub","bath "
"19","English (British)","beach","nouns","outside","beach","beach"
"20","English (British)","bear","nouns","animals","bear","bear"
"21","English (British)","bed","nouns","furniture_rooms","bed","bed"
"22","English (British)","bedroom","nouns","furniture_rooms","bedroom","bedroom"
"23","English (British)","bee","nouns","animals","bee","bee"
"24","English (British)","belly button","nouns","body_parts","belly button / tummy button","belly button "
"25","English (British)","bib","nouns","clothing","bib","bib"
"26","English (British)","bicycle","nouns","vehicles","bicycle / bike","bicycle "
"27","English (British)","big","adjectives","descriptive_words","big","big"
"28","English (British)","bird","nouns","animals","bird","bird"
"29","English (British)","biscuit","nouns","food_drink","biscuit","biscuit"
"30","English (British)","bite","verbs","action_words","bite","bite"
"31","English (British)","blanket","nouns","household","blanket","blanket"
"32","English (British)","block","nouns","toys","block / brick","block "
"33","English (British)","blow","verbs","action_words","blow","blow"
"34","English (British)","blue","adjectives","descriptive_words","blue","blue"
"35","English (British)","boat","nouns","vehicles","boat","boat"
"36","English (British)","book","nouns","toys","book","book"
"37","English (British)","boots","nouns","clothing","boot(s)","boot"
"38","English (British)","bottle","nouns","household","bottle","bottle"
"39","English (British)","bowl","nouns","household","bowl","bowl"
"40","English (British)","box","nouns","household","box","box"
"41","English (British)","bread","nouns","food_drink","bread","bread"
"42","English (British)","break","verbs","action_words","break","break"
"43","English (British)","bring","verbs","action_words","bring","bring"
"44","English (British)","broken","adjectives","descriptive_words","broken","broken"
"45","English (British)","broom","nouns","household","broom","broom"
"46","English (British)","brush (object)","nouns","household","brush","brush"
"47","English (British)","bubbles","nouns","toys","bubble","bubble"
"48","English (British)","bucket","nouns","outside","bucket","bucket"
"49","English (British)","bump","verbs","action_words","bump","bump"
"50","English (British)","bunny","nouns","animals","bunny / rabbit","bunny "
"51","English (British)","bus","nouns","vehicles","bus","bus"
"52","English (British)","butter","nouns","food_drink","butter","butter"
"53","English (British)","butterfly","nouns","animals","butterfly","butterfly"
"54","English (British)","button","nouns","clothing","button","button"
"55","English (British)","cake","nouns","food_drink","cake","cake"
"56","English (British)","car","nouns","vehicles","car","car"
"57","English (British)","careful","adjectives","descriptive_words","careful","careful"
"58","English (British)","carrots","nouns","food_drink","carrot","carrot"
"59","English (British)","carry","verbs","action_words","carry","carry"
"60","English (British)","cat","nouns","animals","cat","cat"
"61","English (British)","catch","verbs","action_words","catch","catch"
"62","English (British)","cereal","nouns","food_drink","cereal","cereal"
"63","English (British)","chair","nouns","furniture_rooms","chair","chair"
"64","English (British)","cheek","nouns","body_parts","cheek","cheek"
"65","English (British)","cheese","nouns","food_drink","cheese","cheese"
"66","English (British)","chicken (animal)","nouns","animals","chicken","chicken"
"67","English (British)","chicken (food)","nouns","food_drink","chicken","chicken"
"68","English (British)","church","nouns","outside","church","church"
"69","English (British)","clean (action)","verbs","action_words","clean","clean"
"70","English (British)","clean (description)","adjectives","descriptive_words","clean","clean"
"71","English (British)","clock","nouns","household","clock","clock"
"72","English (British)","close","verbs","action_words","shut / close","shut "
"73","English (British)","coat","nouns","clothing","coat","coat"
"74","English (British)","coffee","nouns","food_drink","coffee","coffee"
"75","English (British)","cold","adjectives","descriptive_words","cold","cold"
"76","English (British)","comb (object)","nouns","household","comb","comb"
"77","English (British)","couch","nouns","furniture_rooms","settee / sofa","settee "
"78","English (British)","cow","nouns","animals","cow","cow"
"79","English (British)","crib","nouns","furniture_rooms","cot","cot"
"80","English (British)","cry","verbs","action_words","cry","cry"
"81","English (British)","cup","nouns","household","cup","cup"
"82","English (British)","cup","nouns","household","mug","mug"
"83","English (British)","dance","verbs","action_words","dance","dance"
"84","English (British)","dark","adjectives","descriptive_words","dark","dark"
"85","English (British)","deer","nouns","animals","deer","deer"
"86","English (British)","diaper","nouns","clothing","nappy","nappy"
