language,uni_lemma,lexical_class,category,definition,word_clean
French (Quebecois),another,function_words,quantifiers,un autre,un autre
French (Quebecois),basement,nouns,furniture_rooms,sous-sol,sous-sol
French (Quebecois),bathroom,nouns,furniture_rooms,salle de bain/toilette,salle de bain
French (Quebecois),because,function_words,connecting_words,parce que,parce que
French (Quebecois),behind,function_words,locations,en arrière,en arrière
French (Quebecois),below,function_words,locations,en bas,en bas
French (Quebecois),colored pencil,nouns,toys,crayon de couleur,crayon de couleur
French (Quebecois),compote,nouns,food_drink,compote de pommes,compote de pommes
French (Quebecois),cracker,nouns,food_drink,biscuit soda,biscuit soda
French (Quebecois),down,function_words,locations,à terre/par terre,à terre
French (Quebecois),firetruck,nouns,vehicles,camion de pompier,camion de pompier
French (Quebecois),french fries,nouns,food_drink,patate frite,patate frite
French (Quebecois),high chair,nouns,furniture_rooms,chaise haute,chaise haute
French (Quebecois),his,function_words,pronouns,à lui,à lui
French (Quebecois),home,nouns,outside,chez nous,chez nous
French (Quebecois),ice cream,nouns,food_drink,crème glacée,crème glacée
French (Quebecois),kitty,nouns,animals,petit minou,petit minou
French (Quebecois),little (amount),function_words,quantifiers,un peu,un peu
French (Quebecois),mine,function_words,pronouns,à moi,à moi
French (Quebecois),mine,function_words,pronouns,le mien,le mien
French (Quebecois),napkin,nouns,household,serviette de table,serviette de table
French (Quebecois),next to,function_words,locations,à côté de,à côté de
French (Quebecois),outside,function_words,locations,en dehors,en dehors
French (Quebecois),over,function_words,locations,au-dessus,au-dessus
French (Quebecois),over,function_words,locations,par-dessus,par-dessus
French (Quebecois),peanut butter,nouns,food_drink,beurre de pinotte/d'arachide,beurre de pinotte
French (Quebecois),play dough,nouns,toys,pâte à modeler,pâte à modeler
French (Quebecois),puppy,nouns,animals,petit chien,petit chien
French (Quebecois),puzzle,nouns,toys,casse-tête,casse-tête
French (Quebecois),raisin,nouns,food_drink,raisin sec,raisin sec
French (Quebecois),rocking chair,nouns,furniture_rooms,chaise berçante,chaise berçante
French (Quebecois),run after,verbs,action_words,courir après,courir après
French (Quebecois),snowman,nouns,outside,bonhomme de neige,bonhomme de neige
French (Quebecois),snowsuit,nouns,clothing,habit de neige,habit de neige
French (Quebecois),theirs,function_words,pronouns,à eux,à eux
French (Quebecois),toothbrush,nouns,household,brosse à dent,brosse à dent
French (Quebecois),toothbrush,nouns,household,brosse à dents,brosse à dents
French (Quebecois),underpants,nouns,clothing,petite culotte,petite culotte
French (Quebecois),up,function_words,locations,en haut,en haut
French (Quebecois),wardrobe,nouns,furniture_rooms,garde-robe,garde-robe
French (Quebecois),down,function_words,locations,à terre/par terre,par terre
French (Quebecois),in front,function_words,locations,devant/en avant,en avant
French (Quebecois),peanut butter,nouns,food_drink,beurre de pinotte/d'arachide,beurre darachide
French (Quebecois),purse,nouns,household,sacoche/sac à main,sac à main
French (Quebecois),there,function_words,locations,là/là-bas,là-bas
French (Quebecois),under,function_words,locations,sous/en-dessous,en-dessous
French (Quebecois),zipper,nouns,clothing,zip/fermeture-éclair,fermeture-éclair
