language,uni_lemma,lexical_class,category,definition,word_clean
French (Quebecois),a,function_words,quantifiers,un/une,un
French (Quebecois),a lot,function_words,quantifiers,beaucoup,beaucoup
French (Quebecois),able,adjectives,descriptive_words,capable,capable
French (Quebecois),again,function_words,quantifiers,encore,encore
French (Quebecois),airplane,nouns,vehicles,avion,avion
French (Quebecois),all,function_words,quantifiers,tout/toute,tout
French (Quebecois),all gone,adjectives,descriptive_words,parti,parti
French (Quebecois),also,function_words,connecting_words,aussi,aussi
French (Quebecois),and,function_words,connecting_words,et,et
French (Quebecois),angry,adjectives,descriptive_words,fâché,fâché
French (Quebecois),animal,nouns,animals,animal,animal
French (Quebecois),another,function_words,quantifiers,un autre,un autre
French (Quebecois),ant,nouns,animals,fourmi,fourmi
French (Quebecois),apple,nouns,food_drink,pomme,pomme
French (Quebecois),arm,nouns,body_parts,bras,bras
French (Quebecois),around,function_words,locations,autour,autour
French (Quebecois),as,function_words,locations,comme,comme
French (Quebecois),asleep,adjectives,descriptive_words,endormi,endormi
French (Quebecois),at,function_words,locations,à,à
French (Quebecois),attach,verbs,action_words,attacher,attacher
French (Quebecois),awake,adjectives,descriptive_words,réveillé,réveillé
French (Quebecois),bad,adjectives,descriptive_words,mal,mal
French (Quebecois),balcony,nouns,outside,véranda/balcon,véranda
French (Quebecois),ball,nouns,toys,ballon,ballon
French (Quebecois),ball,nouns,toys,balle,balle
French (Quebecois),banana,nouns,food_drink,banane,banane
French (Quebecois),bang,verbs,action_words,cogner (à),cogner
French (Quebecois),basement,nouns,furniture_rooms,sous-sol,sous-sol
French (Quebecois),basket,nouns,household,panier,panier
French (Quebecois),bathroom,nouns,furniture_rooms,salle de bain/toilette,salle de bain
French (Quebecois),bathtub,nouns,furniture_rooms,bain (object),bain
French (Quebecois),be,verbs,action_words,être,être
French (Quebecois),beads,nouns,clothing,perles/boules,perles
French (Quebecois),beans,nouns,food_drink,haricot,haricot
French (Quebecois),bear,nouns,animals,ours,ours
French (Quebecois),beautiful,adjectives,descriptive_words,beau/belle,beau
French (Quebecois),beautiful,adjectives,descriptive_words,joli,joli
French (Quebecois),because,function_words,connecting_words,parce que,parce que
French (Quebecois),bed,nouns,furniture_rooms,lit,lit
French (Quebecois),bedroom,nouns,furniture_rooms,chambre,chambre
French (Quebecois),bee,nouns,animals,abeille,abeille
French (Quebecois),behind,function_words,locations,en arrière,en arrière
French (Quebecois),belly button,nouns,body_parts,nombril,nombril
French (Quebecois),below,function_words,locations,en bas,en bas
French (Quebecois),belt,nouns,clothing,ceinture,ceinture
French (Quebecois),bench,nouns,furniture_rooms,banc,banc
French (Quebecois),better,adjectives,descriptive_words,mieux,mieux
French (Quebecois),bib,nouns,clothing,bavette,bavette
French (Quebecois),bicycle,nouns,vehicles,bicyclette,bicyclette
French (Quebecois),big,adjectives,descriptive_words,gros/grand,gros
French (Quebecois),bird,nouns,animals,oiseau,oiseau
French (Quebecois),bite,verbs,action_words,mordre,mordre
French (Quebecois),black,adjectives,descriptive_words,noir,noir
French (Quebecois),blanket,nouns,household,couverte/couverture,couverte
French (Quebecois),block,nouns,toys,bloc,bloc
French (Quebecois),blow,verbs,action_words,souffler,souffler
French (Quebecois),blue,adjectives,descriptive_words,bleu,bleu
French (Quebecois),boat,nouns,vehicles,bateau,bateau
French (Quebecois),book,nouns,toys,livre,livre
French (Quebecois),boots,nouns,clothing,bottes,bottes
French (Quebecois),bottle,nouns,household,bouteille,bouteille
French (Quebecois),bowl,nouns,household,bol,bol
French (Quebecois),box,nouns,household,boîte,boîte
French (Quebecois),bread,nouns,food_drink,pain,pain
French (Quebecois),break,verbs,action_words,briser/casser,briser
French (Quebecois),bring,verbs,action_words,amener,amener
French (Quebecois),bring,verbs,action_words,apporter,apporter
