word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
again,1,0.0000018479286484,1.0000018479306374,15009,English (British)
aeroplane,1,0.0000602308897881,1.0000602327115078,551,English (British)
all,1,0.0000007830641818,1.0000007830645103,49585,English (British)
animal,1,0.0000253290223699,1.0000253293516603,1523,English (British)
another,1,0.0000029536817585,1.0000029536863384,14222,English (British)
apple,1,0.0000063728898139,1.0000063729107469,3736,English (British)
arm,1,0.0000165408518226,1.0000165409911070,1528,English (British)
asleep,1,0.0000215790834506,1.0000215793266343,1365,English (British)
away,1,0.0000033255265764,1.0000033255322187,11014,English (British)
back,1,0.0000012251281623,1.0000012251289601,26533,English (British)
bad,1,0.0000109956999018,1.0000109957611336,2576,English (British)
ball,1,0.0000045924624941,1.0000045924731815,8382,English (British)
balloon,1,0.0000175741168393,1.0000175742813970,1810,English (British)
banana,1,0.0000248917684729,1.0000248920805053,1615,English (British)
bin,1,0.0000172064137925,1.0000172065639379,1613,English (British)
bathroom,1,0.0000336238057926,1.0000336246742345,1059,English (British)
bath,1,0.0000129487190245,1.0000129488075449,2768,English (British)
beach,1,0.0000357920975429,1.0000357927395929,991,English (British)
bear,1,0.0000061637861950,1.0000061638053539,5220,English (British)
bed,1,0.0000046916854202,1.0000046916966270,7584,English (British)
bedroom,1,0.0000270940965072,1.0000270944923344,1119,English (British)
bee,1,0.0000175531854565,1.0000175533457512,1475,English (British)
bib,1,0.0000402811054127,1.0000402819196557,639,English (British)
big,1,0.0000030197036592,1.0000030197083025,25182,English (British)
bird,1,0.0000127411512591,1.0000127412328477,2517,English (British)
biscuit,1,0.0000302214972765,1.0000302219848616,834,English (British)
bite,1,0.0000109093959456,1.0000109094562659,2541,English (British)
blanket,1,0.0000254273739985,1.0000254277026381,957,English (British)
blow,1,0.0000120468430047,1.0000120469179397,2110,English (British)
blue,1,0.0000032588553583,1.0000032588607122,9232,English (British)
boat,1,0.0000113836687978,1.0000113837374378,2544,English (British)
book,1,0.0000020456439259,1.0000020456462591,15413,English (British)
boot,1,0.0001148569806637,1.0001148636104389,262,English (British)
bottle,1,0.0000090858122365,1.0000090858536106,3023,English (British)
bowl,1,0.0000149710387500,1.0000149712201376,1967,English (British)
box,1,0.0000036657403573,1.0000036657472149,8714,English (British)
bread,1,0.0000113093475479,1.0000113094122476,2959,English (British)
break,1,0.0000090539442806,1.0000090539860949,2940,English (British)
bring,1,0.0000056053364758,1.0000056053528330,5164,English (British)
broken,1,0.0000119790872836,1.0000119791595861,2733,English (British)
broom,1,0.0001239453878746,1.0001239531440582,282,English (British)
brush,1,0.0000148526917274,1.0000148528048589,2162,English (British)
bubble,1,0.0000890611858703,1.0000890652513303,442,English (British)
bucket,1,0.0000220740957368,1.0000220743406762,896,English (British)
bump,1,0.0000222474187352,1.0000222476700515,1008,English (British)
bunny,1,0.0000117133674416,1.0000117134367135,2386,English (British)
bus,1,0.0000075656858249,1.0000075657151710,3774,English (British)
butter,1,0.0000247794147401,1.0000247797311705,1358,English (British)
butterfly,1,0.0000394751725764,1.0000394759807665,882,English (British)
button,1,0.0000255016062447,1.0000255019328144,1602,English (British)
cake,1,0.0000086112820764,1.0000086113241389,3506,English (British)
car,1,0.0000022467068075,1.0000022467094234,13476,English (British)
careful,1,0.0000041029807916,1.0000041029897191,6107,English (British)
carrot,1,0.0000487592389667,1.0000487604554045,711,English (British)
carry,1,0.0000277668546686,1.0000277672494999,1148,English (British)
cat,1,0.0000050259816636,1.0000050259944113,5835,English (British)
catch,1,0.0000110997076490,1.0000110997706229,2813,English (British)
cereal,1,0.0000260704891140,1.0000260708640254,1034,English (British)
chair,1,0.0000048314574091,1.0000048314691989,6382,English (British)
cheek,1,0.0001959498243556,1.0001959695748419,159,English (British)
cheese,1,0.0000066671848006,1.0000066672072732,4215,English (British)
chicken,1,0.0000143349600839,1.0000143350652237,2818,English (British)
chicken,1,0.0000143349600839,1.0000143350652237,2818,English (British)
church,1,0.0000526252466872,1.0000526266516139,547,English (British)
clean,1,0.0000082106555692,1.0000082106901440,3669,English (British)
clean,1,0.0000082106555692,1.0000082106901440,3669,English (British)
clock,1,0.0000157924158373,1.0000157925453976,1709,English (British)
shut,1,0.0000143985390988,1.0000143986462311,1857,English (British)
coat,1,0.0000276021088490,1.0000276025055985,1191,English (British)
coffee,1,0.0000145947886036,1.0000145948956796,2249,English (British)
cold,1,0.0000096283015731,1.0000096283483981,3891,English (British)
comb,1,0.0000466955258526,1.0000466966479977,639,English (British)
settee,1,0.0001780136774964,1.0001780295482858,219,English (British)
cow,1,0.0000085923064720,1.0000085923437907,3496,English (British)
cot,1,0.0001057007912800,1.0001057069308354,297,English (British)
cry,1,0.0000197329188619,1.0000197331166505,1408,English (British)
cup,1,0.0000059552876412,1.0000059553056082,5361,English (British)
mug,1,0.0002884187684227,1.0002884671480323,111,English (British)
dance,1,0.0000247458999899,1.0000247462114544,1107,English (British)
dark,1,0.0000192623263470,1.0000192625136015,1494,English (British)
deer,1,0.0000640126790700,1.0000640147512139,374,English (British)
dirty,1,0.0000108452519373,1.0000108453140022,2706,English (British)
dish,1,0.0001096959063384,1.0001097019666385,312,English (British)
dog,1,0.0000051482309334,1.0000051482443404,5509,English (British)
doll,1,0.0000143038388572,1.0000143039421554,1830,English (British)
donkey,1,0.0000544680373075,1.0000544695233742,575,English (British)
door,1,0.0000051269671749,1.0000051269811332,6193,English (British)
down,1,0.0000011576688145,1.0000011576694960,31240,English (British)
draw,1,0.0000080985856750,1.0000080986190103,4917,English (British)
drawer,1,0.0000605931034375,1.0000605949451595,511,English (British)
dress,1,0.0000188312330901,1.0000188314121052,2087,English (British)
drink,1,0.0000039343548835,1.0000039343626428,6273,English (British)
drink,1,0.0000039343548835,1.0000039343626428,6273,English (British)
drive,1,0.0000141683936505,1.0000141684957071,1883,English (British)
drop,1,0.0000250809823372,1.0000250813107063,1105,English (British)
dry,1,0.0000143720618643,1.0000143721656241,1705,English (British)
duck,1,0.0000091979167857,1.0000091979596297,2872,English (British)
ear,1,0.0000264370466062,1.0000264374035690,1260,English (British)
eat,1,0.0000017744251399,1.0000017744267498,18091,English (British)
egg,1,0.0000106796295853,1.0000106797031953,2550,English (British)
elephant,1,0.0000117880098752,1.0000117880801502,2858,English (British)
empty,1,0.0000247225543349,1.0000247228694144,1237,English (British)
eye,1,0.0000167753321067,1.0000167754743148,1696,English (British)
face,1,0.0000064970757244,1.0000064970978422,4356,English (British)
fall,1,0.0000118252424361,1.0000118253151393,4547,English (British)
fast,1,0.0000217426988457,1.0000217429462948,1814,English (British)
feed,1,0.0000200181669281,1.0000200183744854,1696,English (British)
find,1,0.0000025253406251,1.0000025253439442,11096,English (British)
fine,1,0.0000111562846685,1.0000111563521676,1791,English (British)
finger,1,0.0000133940696282,1.0000133941612737,2157,English (British)
finish,1,0.0000106110309672,1.0000106110878408,2774,English (British)
fish,1,0.0000062162487205,1.0000062162682462,4649,English (British)
fish,1,0.0000062162487205,1.0000062162682462,4649,English (British)
flower,1,0.0000257031496578,1.0000257034847522,1361,English (British)
food,1,0.0000079371282188,1.0000079371622210,6233,English (British)
foot,1,0.0000093227687668,1.0000093228126148,3505,English (British)
fork,1,0.0000354571198711,1.0000354577513717,782,English (British)
frog,1,0.0000145661826102,1.0000145662890330,1734,English (British)
garage,1,0.0000220784704003,1.0000220787157459,1135,English (British)
garden,1,0.0000171659194798,1.0000171660683403,1711,English (British)
gentle,1,0.0000316351399163,1.0000316356487025,955,English (British)
get,1,0.0000007627335298,1.0000007627338645,55665,English (British)
giraffe,1,0.0000249584477608,1.0000249587745440,1156,English (British)
give,1,0.0000022183185798,1.0000022183210819,13726,English (British)
glass,1,0.0000316971118635,1.0000316976275687,1069,English (British)
glasses,1,0.0000263298959465,1.0000263302458756,985,English (British)
go,1,0.0000007642079953,1.0000007642083140,83559,English (British)
good,1,0.0000009031784319,1.0000009031789556,42780,English (British)
goose,1,0.0000593514435830,1.0000593532097253,522,English (British)
green,1,0.0000039701984106,1.0000039702064010,8568,English (British)
hair,1,0.0000043876321058,1.0000043876420122,6378,English (British)
hammer,1,0.0000349001455212,1.0000349008760765,860,English (British)
hand,1,0.0000066029779118,1.0000066029999435,6426,English (British)
happy,1,0.0000076745651764,1.0000076745953332,3476,English (British)
hard,1,0.0000086045056848,1.0000086045438237,4563,English (British)
hat,1,0.0000054269969919,1.0000054270118692,5643,English (British)
have,1,0.0000004027447305,1.0000004027448139,80189,English (British)
head,1,0.0000033651941537,1.0000033652000384,7286,English (British)
hear,1,0.0000041811838034,1.0000041811927278,6278,English (British)
help,1,0.0000032537804375,1.0000032537857695,8981,English (British)
her,1,0.0000019903986607,1.0000019904006796,32518,English (British)
his,1,0.0000015253592748,1.0000015253605052,25985,English (British)
hit,1,0.0000155640509602,1.0000155641768502,2339,English (British)
horse,1,0.0000074575403995,1.0000074575693203,4162,English (British)
hot,1,0.0000052680663476,1.0000052680807514,4425,English (British)
house,1,0.0000039579634377,1.0000039579728368,12111,English (British)
how,1,0.0000009993037965,1.0000009993043606,31682,English (British)
hug,1,0.0000237781802889,1.0000237784896844,1172,English (British)
hungry,1,0.0000093498334008,1.0000093498780254,2717,English (British)
hurry,1,0.0000300769860887,1.0000300775373399,865,English (British)
hurt,1,0.0000061518314028,1.0000061518505396,4613,English (British)
i,1,0.0000292487644498,1.0000292491973439,786,English (British)
in,1,0.0000003779166384,1.0000003779167166,138018,English (British)
inside,1,0.0000085697886545,1.0000085698301062,3944,English (British)
it,1,0.0000002654901864,1.0000002654902476,297679,English (British)
jacket,1,0.0000408017816533,1.0000408027008334,655,English (British)
jam,1,0.0000321900202510,1.0000321905549145,707,English (British)
jeans,1,0.0002397201242275,1.0002397492524058,160,English (British)
juice,1,0.0000038255644361,1.0000038255718486,6380,English (British)
jump,1,0.0000117682626484,1.0000117683351029,2396,English (British)
key,1,0.0000339292679509,1.0000339298466525,918,English (British)
kick,1,0.0000304984073906,1.0000304988914037,925,English (British)
kiss,1,0.0000080025901489,1.0000080026222407,3370,English (British)
