language,uni_lemma,lexical_class,category,definition,word_clean
Mandarin (Taiwanese),awake,adjectives,descriptive_words,醒了/醒著,醒 了
Mandarin (Taiwanese),bad,adjectives,descriptive_words,壞的,坏 的
Mandarin (Taiwanese),bitter,adjectives,descriptive_words,好苦/苦苦的,苦 的
Mandarin (Taiwanese),broken,adjectives,descriptive_words,破了/破掉了,破 了
Mandarin (Taiwanese),donut,nouns,food_drink,甜甜圈,甜甜 圈
Mandarin (Taiwanese),dry (description),adjectives,descriptive_words,乾乾的,干 的
Mandarin (Taiwanese),empty,adjectives,descriptive_words,空空的,空 的
Mandarin (Taiwanese),enough,adjectives,descriptive_words,夠了,够 了
Mandarin (Taiwanese),fine,adjectives,descriptive_words,好的,好 的
Mandarin (Taiwanese),finish,verbs,action_words,好了,好 了
Mandarin (Taiwanese),full,adjectives,descriptive_words,飽了/好飽,饱 了
Mandarin (Taiwanese),full,adjectives,descriptive_words,滿滿的,满 的
Mandarin (Taiwanese),happy,adjectives,descriptive_words,快樂的/高興的,快乐 的
Mandarin (Taiwanese),hard,adjectives,descriptive_words,好硬/硬硬的,硬 的
Mandarin (Taiwanese),long,adjectives,descriptive_words,長長的,长 的
Mandarin (Taiwanese),more,function_words,quantifiers,更多,更 多
Mandarin (Taiwanese),noisy,adjectives,descriptive_words,好吵/吵鬧的,好 吵
Mandarin (Taiwanese),penis,nouns,body_parts,小ㄐㄐ/小鳥(生殖器),小 ㄐ ㄐ
Mandarin (Taiwanese),sticky,adjectives,descriptive_words,好臭/臭臭的,好 臭
Mandarin (Taiwanese),sticky,adjectives,descriptive_words,黏黏的,黏 的
Mandarin (Taiwanese),yucky,adjectives,descriptive_words,討厭的,讨厌 的
Mandarin (Taiwanese),awake,adjectives,descriptive_words,醒了/醒著,醒 着
Mandarin (Taiwanese),bitter,adjectives,descriptive_words,好苦/苦苦的,苦苦 的
Mandarin (Taiwanese),blue,adjectives,descriptive_words,藍藍的/藍色的,蓝色 的
Mandarin (Taiwanese),broken,adjectives,descriptive_words,破了/破掉了,破掉 了
Mandarin (Taiwanese),cute,adjectives,descriptive_words,好可愛/可愛的,可爱 的
Mandarin (Taiwanese),dirty,adjectives,descriptive_words,髒髒的/骯髒的,肮脏 的
Mandarin (Taiwanese),fast,adjectives,descriptive_words,好快/快的,快 的
Mandarin (Taiwanese),full,adjectives,descriptive_words,飽了/好飽,好 饱
Mandarin (Taiwanese),happy,adjectives,descriptive_words,快樂的/高興的,高兴 的
Mandarin (Taiwanese),hard,adjectives,descriptive_words,好硬/硬硬的,硬硬 的
Mandarin (Taiwanese),hot,adjectives,descriptive_words,好熱/熱熱的,热热 的
Mandarin (Taiwanese),hot,adjectives,descriptive_words,好燙/燙燙的,烫烫 的
Mandarin (Taiwanese),hungry,adjectives,descriptive_words,餓了/好餓,好 饿
Mandarin (Taiwanese),hurry,verbs,action_words,快點/快一點,快 一点
Mandarin (Taiwanese),hurt,adjectives,descriptive_words,好痛/痛痛的,痛痛 的
Mandarin (Taiwanese),no,verbs,action_words,不是/不對/不好,不 对
Mandarin (Taiwanese),noisy,adjectives,descriptive_words,好吵/吵鬧的,吵闹 的
Mandarin (Taiwanese),pretty,adjectives,descriptive_words,好漂亮/漂亮的,漂亮 的
Mandarin (Taiwanese),red,adjectives,descriptive_words,紅紅的/紅色的,红色 的
Mandarin (Taiwanese),sad,adjectives,descriptive_words,傷心的/難過的,难过 的
Mandarin (Taiwanese),slow,adjectives,descriptive_words,好慢/慢慢的,慢慢 的
Mandarin (Taiwanese),soft,adjectives,descriptive_words,好軟/軟軟的,软软 的
Mandarin (Taiwanese),sticky,adjectives,descriptive_words,好臭/臭臭的,臭臭 的
Mandarin (Taiwanese),tired,adjectives,descriptive_words,好累/累了,累 了
Mandarin (Taiwanese),yum yum,adjectives,descriptive_words,很好吃/好吃的,好吃 的
