language,uni_lemma,lexical_class,category,definition,word_clean
English (Australian),airplane,nouns,vehicles,(air)plane,plane
English (Australian),all gone,adjectives,descriptive_words,all gone,all gone
English (Australian),angry,adjectives,descriptive_words,mad,mad
English (Australian),animal,nouns,animals,animal,animal
English (Australian),ant,nouns,animals,ant,ant
English (Australian),apple,nouns,food_drink,apple,apple
English (Australian),arm,nouns,body_parts,arm,arm
English (Australian),asleep,adjectives,descriptive_words,asleep,asleep
English (Australian),backyard,nouns,outside,backyard,backyard
English (Australian),bad,adjectives,descriptive_words,bad,bad
English (Australian),ball,nouns,toys,ball,ball
English (Australian),balloon,nouns,toys,balloon,balloon
English (Australian),banana,nouns,food_drink,banana,banana
English (Australian),bathroom,nouns,furniture_rooms,Bathroom,bathroom
English (Australian),bathtub,nouns,furniture_rooms,Bath (tub),bath
English (Australian),beans,nouns,food_drink,beans,beans
English (Australian),bear,nouns,animals,bear,bear
English (Australian),bed,nouns,furniture_rooms,bed,bed
English (Australian),bedroom,nouns,furniture_rooms,bedroom,bedroom
English (Australian),bee,nouns,animals,bee,bee
English (Australian),belly button,nouns,body_parts,bellybutton/navel,bellybutton
English (Australian),bib,nouns,clothing,bib,bib
English (Australian),bicycle,nouns,vehicles,bicycle/bike,bicycle
English (Australian),big,adjectives,descriptive_words,big,big
English (Australian),bird,nouns,animals,bird,bird
English (Australian),bite,verbs,action_words,bite,bite
English (Australian),black,adjectives,descriptive_words,black,black
English (Australian),blanket,nouns,household,blanket,blanket
English (Australian),block,nouns,toys,block/brick,block
English (Australian),blow,verbs,action_words,blow,blow
English (Australian),blue,adjectives,descriptive_words,blue,blue
English (Australian),boat,nouns,vehicles,boat,boat
English (Australian),book,nouns,toys,book,book
English (Australian),boots,nouns,clothing,boot(s),boot
English (Australian),bottle,nouns,household,bottle,bottle
English (Australian),bowl,nouns,household,bowl,bowl
English (Australian),box,nouns,household,box,box
English (Australian),bread,nouns,food_drink,bread,bread
English (Australian),break,verbs,action_words,break,break
English (Australian),breast,nouns,body_parts,breasts,breasts
English (Australian),bring,verbs,action_words,bring,bring
English (Australian),broken,adjectives,descriptive_words,broken,broken
English (Australian),broom,nouns,household,broom,broom
English (Australian),brush (object),nouns,household,brush,brush
English (Australian),bubbles,nouns,toys,bubbles,bubbles
English (Australian),bucket,nouns,household,bucket,bucket
English (Australian),bug,nouns,animals,bug,bug
English (Australian),bump,verbs,action_words,bump,bump
English (Australian),bunny,nouns,animals,bunny/rabbit,bunny
English (Australian),bus,nouns,vehicles,bus,bus
English (Australian),butt,nouns,body_parts,bottom,bottom
English (Australian),butter,nouns,food_drink,butter,butter
English (Australian),butterfly,nouns,animals,butterfly,butterfly
English (Australian),button,nouns,clothing,button,button
English (Australian),buy,verbs,action_words,buy,buy
English (Australian),cake,nouns,food_drink,cake,cake
English (Australian),camera,nouns,household,camera,camera
English (Australian),can (object),nouns,household,can,can
English (Australian),cap,nouns,clothing,beanie,beanie
English (Australian),car,nouns,vehicles,car,car
English (Australian),careful,adjectives,descriptive_words,careful,careful
English (Australian),carrots,nouns,food_drink,carrot,carrot
English (Australian),carry,verbs,action_words,carry,carry
English (Australian),cat,nouns,animals,(pussy)cat,cat
English (Australian),catch,verbs,action_words,catch,catch
English (Australian),cereal,nouns,food_drink,cereal,cereal
English (Australian),chair,nouns,furniture_rooms,chair,chair
English (Australian),cheek,nouns,body_parts,cheek,cheek
English (Australian),cheese,nouns,food_drink,cheese,cheese
English (Australian),chicken (food),nouns,food_drink,chicken,chicken
English (Australian),chin,nouns,body_parts,chin,chin
English (Australian),chocolate,nouns,food_drink,chocolate,chocolate
English (Australian),clap,verbs,action_words,clap,clap
English (Australian),clean (action),verbs,action_words,clean,clean
English (Australian),clean (description),adjectives,descriptive_words,clean,clean
English (Australian),climb,verbs,action_words,climb,climb
English (Australian),clock,nouns,household,clock,clock
English (Australian),close,verbs,action_words,shut,shut
English (Australian),close,verbs,action_words,close,close
English (Australian),cloud,nouns,outside,cloud,cloud
English (Australian),coat,nouns,clothing,coat,coat
English (Australian),coffee,nouns,food_drink,coffee,coffee
English (Australian),cold,adjectives,descriptive_words,cold,cold
English (Australian),comb (object),nouns,household,comb,comb
English (Australian),computer,nouns,furniture_rooms,computer,computer
English (Australian),cookie,nouns,food_drink,biscuit/bickie,biscuit
English (Australian),couch,nouns,furniture_rooms,couch/lounge/sofa,couch
English (Australian),cover (action),verbs,action_words,cover,cover
English (Australian),cow,nouns,animals,cow,cow
English (Australian),crayon,nouns,toys,crayon,crayon
English (Australian),crib,nouns,household,cot,cot
English (Australian),crib,nouns,furniture_rooms,crib,crib
English (Australian),crocodile,nouns,animals,crocodile,crocodile
English (Australian),cry,verbs,action_words,cry,cry
English (Australian),cup,nouns,household,cup,cup
English (Australian),cup,nouns,household,mug,mug
English (Australian),cute,adjectives,descriptive_words,cute,cute
English (Australian),dance,verbs,action_words,dance,dance
English (Australian),dark,adjectives,descriptive_words,dark,dark
English (Australian),deer,nouns,animals,deer,deer
English (Australian),diaper,nouns,clothing,nappy,nappy
English (Australian),dirty,adjectives,descriptive_words,dirty,dirty
English (Australian),dish,nouns,household,dish,dish
English (Australian),dog,nouns,animals,dog,dog
English (Australian),doll,nouns,toys,doll,doll
English (Australian),donkey,nouns,animals,donkey,donkey
English (Australian),door,nouns,furniture_rooms,door,door
English (Australian),draw,verbs,action_words,draw,draw
English (Australian),drawer,nouns,furniture_rooms,drawer,drawer
English (Australian),dress (object),nouns,clothing,dress,dress
English (Australian),drink (action),verbs,action_words,drink,drink
English (Australian),drink (beverage),nouns,food_drink,drink,drink
English (Australian),drive,verbs,action_words,drive,drive
English (Australian),drop,verbs,action_words,drop,drop
English (Australian),dry (action),verbs,action_words,dry,dry
English (Australian),dry (description),adjectives,descriptive_words,dry,dry
English (Australian),duck,nouns,animals,duck,duck
English (Australian),dump,verbs,action_words,dump,dump
English (Australian),ear,nouns,body_parts,ear,ear
English (Australian),easy,adjectives,descriptive_words,easy,easy
English (Australian),eat,verbs,action_words,eat,eat
English (Australian),egg,nouns,food_drink,egg,egg
English (Australian),elephant,nouns,animals,elephant,elephant
English (Australian),empty,adjectives,descriptive_words,empty,empty
English (Australian),eye,nouns,body_parts,eye,eye
English (Australian),face,nouns,body_parts,face,face
English (Australian),fall,verbs,action_words,fall,fall
English (Australian),fast,adjectives,descriptive_words,fast,fast
English (Australian),feed,verbs,action_words,feed,feed
English (Australian),find,verbs,action_words,find,find
English (Australian),fine,adjectives,descriptive_words,fine,fine
English (Australian),finger,nouns,body_parts,finger(s),finger
English (Australian),finish,verbs,action_words,finish,finish
English (Australian),firetruck,nouns,vehicles,fire truck/engine,fire truck
English (Australian),fish (animal),nouns,animals,fish,fish
English (Australian),fish (food),nouns,food_drink,fish,fish
English (Australian),flower,nouns,outside,flower,flower
English (Australian),food,nouns,food_drink,food,food
English (Australian),foot,nouns,body_parts,foot/feet,foot
English (Australian),fork,nouns,household,fork,fork
English (Australian),frog,nouns,animals,frog,frog
English (Australian),full,adjectives,descriptive_words,full,full
