iso_name,wordbank,wordbank kids,wordbank kids / 1000,form,unilemma coverage (proportion of tokens that are mapped to a unilemma),form,unilemma coverage (proportion of tokens that are mapped to a unilemma),form,unilemma coverage (proportion of tokens that are mapped to a unilemma),form,unilemma coverage (proportion of tokens that are mapped to a unilemma),childes,childes tokens (exclude target child),childes token per million,childes target children,snowball,hunspell,hunspell source,espeak,espeak notes,num resources,wordbank and childes,status,in aoa-pred,current targets,exclusion reason,new
Danish,Danish,6112,6.1,WG,1.00,WS,0.49,0,0.00,0,0.00,dan,285447,.3,120,danish,da_DK,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,da,Usable.,4,TRUE,,TRUE,TRUE,,FALSE
English,English (American),7955,8.0,WG,0.80,WS,0.85,0,0.00,0,0.00,eng,25659263,25.7,20655,english,en_US,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en-us,,4,TRUE,,TRUE,TRUE,,FALSE
English,English (Australian),1497,1.5,WS,0.72,0,0.00,0,0.00,0,0.00,eng,25659263,25.7,20655,english,en_AU,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,,4,TRUE,,FALSE,TRUE,,TRUE
English,English (British),23129,23.1,TEDS Twos,0.70,TEDS Threes,0.37,Oxford CDI,0.97,0,0.00,eng,25659263,25.7,20655,english,en_GB,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,en,,4,TRUE,,FALSE,TRUE,,TRUE
French,French (French),863,.9,WG,0.65,WS,0.72,0,0.00,0,0.00,fra,3183037,3.2,2294,french,fr_FR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fr,"This has been improved by a native speaker, and should be OK.",4,TRUE,,FALSE,TRUE,,TRUE
French,French (Quebecois),1364,1.4,WG,0.99,WS,0.83,0,0.00,0,0.00,fra,3183037,3.2,2294,french,fr_FR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,fr,"This has been improved by a native speaker, and should be OK.",4,TRUE,,TRUE,TRUE,,FALSE
German,German,1181,1.2,WS,0.77,0,0.00,0,0.00,0,0.00,deu,5663294,5.7,2331,german,de_DE,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,de,"This has improved from easlier versions. A problem is stress placement (which like English is irregular), prosody, and the use of compound words where correct detection of the sub-word boundaries would probably be needed for accurate pronunciation.",4,TRUE,,FALSE,TRUE,,TRUE
Italian,Italian,1400,1.4,WG,0.81,WS,0.57,0,0.00,0,0.00,ita,458427,.5,388,italian,it_IT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,it,"This has had some feedback from a native speaker but more work is needed. Spelling is fairly regular, but stress marks and vowel accents are often omitted from text, so for some words the dictionary/exceptions list will need to determine the stress position or whether to use open/close [e] or [E] and [o] or [O].",4,TRUE,,TRUE,TRUE,,FALSE
Modern Greek,Greek (Cypriot),176,.2,WS,0.64,0,0.00,0,0.00,0,0.00,ell,131535,.1,206,greek,el_GR,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,el,"Stress position is marked in text and spelling is fairly regular, so it shouldn't be too bad. It uses a different alphabet and switches to English pronunciation for words which contain Latin characters a-z.",4,TRUE,,FALSE,FALSE,not enough wordbank,FALSE
Norwegian,Norwegian,12225,12.2,WG,0.81,WS,0.46,0,0.00,0,0.00,nor,248795,.2,198,norwegian,no_NO,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,no,"An initial guess, awaiting feedback.",4,TRUE,,TRUE,TRUE,,FALSE
Portuguese,Portuguese (European),4326,4.3,WG,0.00,WS,0.00,0,0.00,0,0.00,por,761765,.8,787,portuguese,pt_PT,http://ftp.snt.utwente.nl/pub/software/openoffice/contrib/dictionaries/,pt-pt,,4,TRUE,,FALSE,TRUE,,TRUE
