language,uni_lemma,lexical_class,category,definition,word_clean
Mandarin (Beijing),all gone,adjectives,descriptive_words,(吃)没了,没 了
Mandarin (Beijing),broken,adjectives,descriptive_words,坏了,坏 了
Mandarin (Beijing),empty,adjectives,descriptive_words,空的,空 的
Mandarin (Beijing),our,function_words,pronouns,我们的,我们 的
Mandarin (Beijing),our,function_words,pronouns,咱们的,咱们 的
Mandarin (Beijing),shake,verbs,action_words,握（手）,握 手
Mandarin (Beijing),turn,verbs,action_words,拐（弯）,拐 （ 弯 ）
Mandarin (Beijing),where (question),function_words,question_words,在哪里/哪儿呢？,在 哪里
Mandarin (Beijing),your,function_words,pronouns,你的,你 的
Mandarin (Beijing),your,function_words,pronouns,你们的,你们 的
