word_clean,n_tokens,avg_surprisal,avg_perplexity,n_instances,language
un,1,0.0005364600881038,1.0005366119685599,19010,French (Quebecois)
beaucoup,1,0.0107873651489277,1.0108480185293069,1014,French (Quebecois)
capable,1,0.9073223384943876,2.5192068091379038,55,French (Quebecois)
encore,1,0.0026392757978001,1.0026431374664906,3321,French (Quebecois)
avion,1,0.0881644683961685,1.0922524118179027,130,French (Quebecois)
tout,1,0.0036019528009971,1.2530386273787193,4588,French (Quebecois)
parti,1,0.0310001012156991,1.0315186908252940,255,French (Quebecois)
aussi,1,0.0033782525361063,1.0033844342150970,2915,French (Quebecois)
et,1,0.0013698122184407,1.3620252725634179,18400,French (Quebecois)
fâché,1,3.1599926637566607,24.0524863697945364,23,French (Quebecois)
animal,1,0.1326326355338097,1.1419171252856033,134,French (Quebecois)
fourmi,1,1.3326996723810831,3.8131745267240005,30,French (Quebecois)
pomme,1,0.1108669236923257,1.1176275164902596,240,French (Quebecois)
bras,1,0.0571884232422998,1.0589349978879656,310,French (Quebecois)
autour,1,0.3860151373791968,1.4736641885141470,87,French (Quebecois)
comme,1,0.0065889858388485,2.4887007401264460,6488,French (Quebecois)
endormi,1,0.6193252968788147,1.8585760025208404,25,French (Quebecois)
à,1,0.0007843772583475,1.0007846945231362,13158,French (Quebecois)
attacher,1,1.0146617835218257,2.7675853960606038,33,French (Quebecois)
réveillé,1,2.1417917211850486,8.8814638603956961,36,French (Quebecois)
mal,1,0.0106534962028494,1.0107221269930118,1169,French (Quebecois)
ballon,1,0.0123217182942847,1.0124108135755523,402,French (Quebecois)
balle,1,0.3011407770893790,1.3813667383850723,132,French (Quebecois)
banane,1,0.1358878044006617,1.1478107863246962,138,French (Quebecois)
cogner,1,1.7943775405486424,6.0243535137032280,24,French (Quebecois)
panier,1,0.8736010579501882,2.5038871731310093,68,French (Quebecois)
bain,1,0.0165349210320373,1.0166935311952765,711,French (Quebecois)
être,1,0.0042021537226414,1.0042116034619870,1199,French (Quebecois)
perles,1,0.1231699997429238,1.1316313436977736,86,French (Quebecois)
haricot,1,4.3250289758046465,76.1273045069509635,6,French (Quebecois)
ours,1,0.0326974748716506,1.0332783685222047,259,French (Quebecois)
beau,1,0.0069848523294205,1.0070105510641760,782,French (Quebecois)
joli,1,0.0313282568243075,1.0318551382417784,459,French (Quebecois)
lit,1,0.0180605634084307,1.0182355709971282,654,French (Quebecois)
chambre,1,0.0367045202590709,1.0386574177737520,406,French (Quebecois)
abeille,1,1.9040749073028564,6.7649984335544273,20,French (Quebecois)
nombril,1,1.2704942570792304,3.5826145667877376,45,French (Quebecois)
ceinture,1,0.8940996527671814,2.4486572839261957,23,French (Quebecois)
banc,1,0.6011304643846327,1.8247010914720903,31,French (Quebecois)
mieux,1,0.0148833364035325,1.0150001787254559,691,French (Quebecois)
bavette,1,0.4943391036342930,1.6481136492986204,37,French (Quebecois)
bicyclette,1,1.6865206900097074,5.4008278811466948,21,French (Quebecois)
gros,1,0.0041030262170596,1.0041126127027997,1065,French (Quebecois)
oiseau,1,0.0929261497298225,1.0975410535998555,122,French (Quebecois)
mordre,1,1.7153085680568920,5.5724009827777312,17,French (Quebecois)
noir,1,0.0750076645646583,1.0779240545022315,220,French (Quebecois)
bloc,1,1.2911781980877830,3.6483224475178613,21,French (Quebecois)
souffler,1,0.4450467058590480,1.5628527825992906,42,French (Quebecois)
bleu,1,0.0128219761812914,1.0129082757634253,499,French (Quebecois)
bateau,1,0.0203082487740390,1.0205184858826279,544,French (Quebecois)
livre,1,0.0068768124988422,1.0069021989229616,812,French (Quebecois)
bottes,1,0.1904133356862016,1.2117779348737812,91,French (Quebecois)
bouteille,1,0.0721908943219618,1.0753103711499987,99,French (Quebecois)
bol,1,0.3634884368191968,1.5171014010508337,111,French (Quebecois)
boîte,1,0.0247618459585694,1.0250743185504889,372,French (Quebecois)
pain,1,0.0130119592350148,1.0131475902603047,369,French (Quebecois)
amener,1,0.5261296795474159,1.6945880096605268,45,French (Quebecois)
apporter,1,1.5071899175643921,4.5250290861322018,30,French (Quebecois)
brisé,1,1.1566855430603027,3.1836091487557887,20,French (Quebecois)
balai,1,0.3879331076631741,1.4745909260676155,49,French (Quebecois)
brun,1,2.2174033164978026,9.2518353631152142,30,French (Quebecois)
brosser,1,3.2912918130556741,26.9528859146521604,12,French (Quebecois)
brosse,1,0.6701157093048096,1.9560848388147754,46,French (Quebecois)
bulles,1,0.1559975591953844,1.1691923543399207,128,French (Quebecois)
seau,1,0.5744318020971197,1.7764119787932302,38,French (Quebecois)
construire,1,0.1812747351679148,1.1990980390813817,51,French (Quebecois)
lapin,1,0.0142905719252192,1.0144035172436328,417,French (Quebecois)
mais,1,0.0023326191573808,1.7821874122654342,9724,French (Quebecois)
fesses,1,0.0945959817097840,1.1001355611100834,179,French (Quebecois)
beurre,1,0.0576474492421799,1.0593917815295091,114,French (Quebecois)
papillon,1,0.1239767645284073,1.1321306788269132,97,French (Quebecois)
bouton,1,0.0971041943057109,1.1020505983392503,118,French (Quebecois)
acheter,1,0.1044383674743585,1.1101265203194366,128,French (Quebecois)
par,1,0.0082994143424252,1.0083350206305359,1183,French (Quebecois)
gâteau,1,0.0145672914719709,1.0146957009880890,656,French (Quebecois)
caméra,1,0.0369129852830049,1.0377742356168382,340,French (Quebecois)
pouvoir,1,0.0643464840487041,1.0664667732487727,113,French (Quebecois)
bonbon,1,0.4248615324497223,1.5335768022689429,35,French (Quebecois)
auto,1,0.3463710905225189,1.4152247982168022,54,French (Quebecois)
prudent,1,1.5498820861180624,4.7122849239576423,15,French (Quebecois)
carotte,1,0.1185689533806660,1.1264981534401253,88,French (Quebecois)
transporter,1,2.1401752325204701,8.5093434257067884,13,French (Quebecois)
chat,1,0.0110091562937599,1.0110841217793030,915,French (Quebecois)
attraper,1,0.0983998726396000,1.1035007346720895,85,French (Quebecois)
céréales,1,0.8146425853757298,2.2657502163162175,34,French (Quebecois)
chaise,1,0.0169625190020993,1.0171136076303611,312,French (Quebecois)
craie,1,3.6065956079042873,37.7533940865654856,13,French (Quebecois)
joue,1,0.0142219315647431,1.0143526524244388,529,French (Quebecois)
fromage,1,0.0280132170158381,1.0284286956191913,245,French (Quebecois)
poule,1,0.0467897721511476,1.0480083142609373,255,French (Quebecois)
poulet,1,0.2509632258055111,1.2858785625084872,96,French (Quebecois)
poulet,1,0.2509632258055111,1.2858785625084872,96,French (Quebecois)
poulet,1,0.2509632258055111,1.2858785625084872,96,French (Quebecois)
menton,1,0.9543531164526939,2.5993258095247924,24,French (Quebecois)
chips,1,3.3267977237701416,27.9627726668271421,20,French (Quebecois)
chocolat,1,0.0140525871217870,1.0141590181927522,481,French (Quebecois)
choisir,1,0.3875108069303084,1.4737340000801122,49,French (Quebecois)
nettoyer,1,0.1386956826207184,1.1490703885163007,84,French (Quebecois)
ranger,1,0.0241631736144698,1.0244738656694279,326,French (Quebecois)
propre,1,0.0595597153639092,1.0614126895657450,153,French (Quebecois)
grimper,1,2.3834947082731457,10.9341088018152988,18,French (Quebecois)
monter,1,0.0431316194521024,1.0441006343584118,202,French (Quebecois)
fermer,1,0.0666421144143552,1.0689840062366198,148,French (Quebecois)
nuage,1,2.6497279730710117,14.1565239326624290,11,French (Quebecois)
manteau,1,0.3679582437254348,1.4481460304119489,106,French (Quebecois)
café,1,0.0695519920276559,1.0720442819234375,207,French (Quebecois)
froid,1,0.0167427812858573,1.0168867104836323,389,French (Quebecois)
peigne,1,0.7870693488253487,2.2011507426434767,36,French (Quebecois)
venir,1,0.0362181356581657,1.0369309016410828,322,French (Quebecois)
biscuit,1,0.8364073550492003,2.3733478844659750,57,French (Quebecois)
divan,1,1.9802958071231842,7.2450986480291988,12,French (Quebecois)
divan,1,1.9802958071231842,7.2450986480291988,12,French (Quebecois)
vache,1,0.0302726561383391,1.0307782142519020,259,French (Quebecois)
pleurer,1,0.2134802691769182,1.2382592228045197,57,French (Quebecois)
cornichon,1,2.2548817197481790,9.6034974416366143,12,French (Quebecois)
tasse,1,0.1232250152402614,1.1311993672734031,83,French (Quebecois)
couper,1,0.0650672705345590,1.0672876681178083,213,French (Quebecois)
mignon,1,0.2542444087986676,1.2920669639220628,106,French (Quebecois)
danser,1,0.2077563258216661,1.2311883746744303,68,French (Quebecois)
couche,1,0.0335693193073763,1.0342235496462884,209,French (Quebecois)
sale,1,0.0690374794094084,1.0715312201934093,214,French (Quebecois)
