"","language","uni_lemma","lexical_class","category","definition","word_clean"
"1","English (Australian)","airplane","nouns","vehicles","(air)plane",""
"2","English (Australian)","all gone","adjectives","descriptive_words","all gone","all gone"
"3","English (Australian)","angry","adjectives","descriptive_words","mad","mad"
"4","English (Australian)","animal","nouns","animals","animal","animal"
"5","English (Australian)","ant","nouns","animals","ant","ant"
"6","English (Australian)","apple","nouns","food_drink","apple","apple"
"7","English (Australian)","arm","nouns","body_parts","arm","arm"
"8","English (Australian)","asleep","adjectives","descriptive_words","asleep","asleep"
"9","English (Australian)","backyard","nouns","outside","backyard","backyard"
"10","English (Australian)","bad","adjectives","descriptive_words","bad","bad"
"11","English (Australian)","ball","nouns","toys","ball","ball"
"12","English (Australian)","balloon","nouns","toys","balloon","balloon"
"13","English (Australian)","banana","nouns","food_drink","banana","banana"
"14","English (Australian)","bathroom","nouns","furniture_rooms","Bathroom","bathroom"
"15","English (Australian)","bathtub","nouns","furniture_rooms","Bath (tub)","bath"
"16","English (Australian)","beans","nouns","food_drink","beans","beans"
"17","English (Australian)","bear","nouns","animals","bear","bear"
"18","English (Australian)","bed","nouns","furniture_rooms","bed","bed"
"19","English (Australian)","bedroom","nouns","furniture_rooms","bedroom","bedroom"
"20","English (Australian)","bee","nouns","animals","bee","bee"
"21","English (Australian)","belly button","nouns","body_parts","bellybutton/navel","bellybutton"
"22","English (Australian)","bib","nouns","clothing","bib","bib"
"23","English (Australian)","bicycle","nouns","vehicles","bicycle/bike","bicycle"
"24","English (Australian)","big","adjectives","descriptive_words","big","big"
"25","English (Australian)","bird","nouns","animals","bird","bird"
"26","English (Australian)","bite","verbs","action_words","bite","bite"
"27","English (Australian)","black","adjectives","descriptive_words","black","black"
"28","English (Australian)","blanket","nouns","household","blanket","blanket"
"29","English (Australian)","block","nouns","toys","block/brick","block"
"30","English (Australian)","blow","verbs","action_words","blow","blow"
"31","English (Australian)","blue","adjectives","descriptive_words","blue","blue"
"32","English (Australian)","boat","nouns","vehicles","boat","boat"
"33","English (Australian)","book","nouns","toys","book","book"
"34","English (Australian)","boots","nouns","clothing","boot(s)","boot"
"35","English (Australian)","bottle","nouns","household","bottle","bottle"
"36","English (Australian)","bowl","nouns","household","bowl","bowl"
"37","English (Australian)","box","nouns","household","box","box"
"38","English (Australian)","bread","nouns","food_drink","bread","bread"
"39","English (Australian)","break","verbs","action_words","break","break"
"40","English (Australian)","breast","nouns","body_parts","breasts","breasts"
"41","English (Australian)","bring","verbs","action_words","bring","bring"
"42","English (Australian)","broken","adjectives","descriptive_words","broken","broken"
"43","English (Australian)","broom","nouns","household","broom","broom"
"44","English (Australian)","brush (object)","nouns","household","brush","brush"
"45","English (Australian)","bubbles","nouns","toys","bubbles","bubbles"
"46","English (Australian)","bucket","nouns","household","bucket","bucket"
"47","English (Australian)","bug","nouns","animals","bug","bug"
"48","English (Australian)","bump","verbs","action_words","bump","bump"
"49","English (Australian)","bunny","nouns","animals","bunny/rabbit","bunny"
"50","English (Australian)","bus","nouns","vehicles","bus","bus"
"51","English (Australian)","butt","nouns","body_parts","bottom","bottom"
"52","English (Australian)","butter","nouns","food_drink","butter","butter"
"53","English (Australian)","butterfly","nouns","animals","butterfly","butterfly"
"54","English (Australian)","button","nouns","clothing","button","button"
"55","English (Australian)","buy","verbs","action_words","buy","buy"
"56","English (Australian)","cake","nouns","food_drink","cake","cake"
"57","English (Australian)","camera","nouns","household","camera","camera"
"58","English (Australian)","can (object)","nouns","household","can","can"
"59","English (Australian)","cap","nouns","clothing","beanie","beanie"
"60","English (Australian)","car","nouns","vehicles","car","car"
"61","English (Australian)","careful","adjectives","descriptive_words","careful","careful"
"62","English (Australian)","carrots","nouns","food_drink","carrot","carrot"
"63","English (Australian)","carry","verbs","action_words","carry","carry"
"64","English (Australian)","cat","nouns","animals","(pussy)cat",""
"65","English (Australian)","catch","verbs","action_words","catch","catch"
"66","English (Australian)","cereal","nouns","food_drink","cereal","cereal"
"67","English (Australian)","chair","nouns","furniture_rooms","chair","chair"
"68","English (Australian)","cheek","nouns","body_parts","cheek","cheek"
"69","English (Australian)","cheese","nouns","food_drink","cheese","cheese"
"70","English (Australian)","chicken (food)","nouns","food_drink","chicken","chicken"
"71","English (Australian)","chin","nouns","body_parts","chin","chin"
"72","English (Australian)","chocolate","nouns","food_drink","chocolate","chocolate"
"73","English (Australian)","clap","verbs","action_words","clap","clap"
"74","English (Australian)","clean (action)","verbs","action_words","clean","clean"
"75","English (Australian)","clean (description)","adjectives","descriptive_words","clean","clean"
"76","English (Australian)","climb","verbs","action_words","climb","climb"
"77","English (Australian)","clock","nouns","household","clock","clock"
"78","English (Australian)","close","verbs","action_words","shut","shut"
"79","English (Australian)","close","verbs","action_words","close","close"
"80","English (Australian)","cloud","nouns","outside","cloud","cloud"
"81","English (Australian)","coat","nouns","clothing","coat","coat"
"82","English (Australian)","coffee","nouns","food_drink","coffee","coffee"
"83","English (Australian)","cold","adjectives","descriptive_words","cold","cold"
"84","English (Australian)","comb (object)","nouns","household","comb","comb"
"85","English (Australian)","computer","nouns","furniture_rooms","computer","computer"
"86","English (Australian)","cookie","nouns","food_drink","biscuit/bickie","biscuit"
"87","English (Australian)","couch","nouns","furniture_rooms","couch/lounge/sofa","couch"
"88","English (Australian)","cover (action)","verbs","action_words","cover","cover"
"89","English (Australian)","cow","nouns","animals","cow","cow"
"90","English (Australian)","crayon","nouns","toys","crayon","crayon"
"91","English (Australian)","crib","nouns","household","cot","cot"
"92","English (Australian)","crib","nouns","furniture_rooms","crib","crib"
"93","English (Australian)","crocodile","nouns","animals","crocodile","crocodile"
"94","English (Australian)","cry","verbs","action_words","cry","cry"
"95","English (Australian)","cup","nouns","household","cup","cup"
"96","English (Australian)","cup","nouns","household","mug","mug"
"97","English (Australian)","cute","adjectives","descriptive_words","cute","cute"
"98","English (Australian)","dance","verbs","action_words","dance","dance"
"99","English (Australian)","dark","adjectives","descriptive_words","dark","dark"
"100","English (Australian)","deer","nouns","animals","deer","deer"
"101","English (Australian)","diaper","nouns","clothing","nappy","nappy"
"102","English (Australian)","dirty","adjectives","descriptive_words","dirty","dirty"
"103","English (Australian)","dish","nouns","household","dish","dish"
