language,uni_lemma,lexical_class,category,definition,word_clean
German,a,function_words,quantifiers,ein,ein
German,a,function_words,quantifiers,einer,einer
German,a,function_words,quantifiers,eine,eine
German,a little,function_words,quantifiers,ein bisschen,ein bisschen
German,above,function_words,locations,über,über
German,airplane,nouns,vehicles,Flugzeug,flugzeug
German,also,function_words,quantifiers,auch,auch
German,animal,nouns,animals,Tier,tier
German,another,function_words,quantifiers,andere,andere
German,another,function_words,quantifiers,anderer,anderer
German,ant,nouns,animals,Ameise,ameise
German,apple,nouns,food_drink,Apfel,apfel
German,arm,nouns,body_parts,Arm,arm
German,armchair,nouns,furniture_rooms,Sessel,sessel
German,away,function_words,locations,weg,weg
German,back,function_words,locations,zurück,zurück
German,bad,adjectives,descriptive_words,schlecht,schlecht
German,bad,adjectives,descriptive_words,böse,böse
German,ball,nouns,toys,Ball,ball
German,balloon,nouns,toys,Luftballon,luftballon
German,banana,nouns,food_drink,Banane,banane
German,bathroom,nouns,furniture_rooms,Klo/Toilette,klo
German,bathroom,nouns,furniture_rooms,Badezimmer,badezimmer
German,bathtub,nouns,furniture_rooms,Badewanne,badewanne
German,beach,function_words,quantifiers,jeder,jeder
German,beans,nouns,food_drink,Bohnen,bohnen
German,bear,nouns,animals,Bär,bär
German,bed,nouns,furniture_rooms,Bett,bett
German,bedroom,nouns,furniture_rooms,Schlafzimmer,schlafzimmer
German,bee,nouns,animals,Biene,biene
German,belly button,nouns,body_parts,Bauchnabel,bauchnabel
German,bib,nouns,clothing,Lätzchen,lätzchen
German,bicycle,nouns,vehicles,Fahrrad,fahrrad
German,big,adjectives,descriptive_words,groß,groß
German,bird,nouns,animals,Vogel,vogel
German,bite,verbs,action_words,beißen,beißen
German,black,adjectives,descriptive_words,schwarz,schwarz
German,blanket,nouns,household,Decke,decke
German,blow,verbs,action_words,pusten,pusten
German,blue,adjectives,descriptive_words,blau,blau
German,boat,nouns,vehicles,Schiff,schiff
German,book,nouns,toys,Buch,buch
German,boots,nouns,clothing,Stiefel,stiefel
German,bottle,nouns,household,Flasche,flasche
German,box,nouns,household,Dose,dose
German,bread,nouns,food_drink,Brot,brot
German,break,verbs,action_words,kaputt machen,kaputt machen
German,bring,verbs,action_words,bringen,bringen
German,broken,adjectives,descriptive_words,kaputt,kaputt
German,broom,nouns,household,Besen,besen
German,brush (object),nouns,household,Bürste,bürste
German,bucket,nouns,household,Eimer,eimer
German,bug,nouns,animals,Käfer,käfer
German,bun,nouns,food_drink,Brötchen,brötchen
German,bunny,nouns,animals,Hase,hase
German,bus,nouns,vehicles,Bus,bus
German,butt,nouns,body_parts,Popo,popo
German,butter,nouns,food_drink,Butter,butter
German,butterfly,nouns,animals,Schmetterling,schmetterling
German,buy,verbs,action_words,kaufen,kaufen
German,cacao,nouns,food_drink,Kakao,kakao
German,cake,nouns,food_drink,Kuchen,kuchen
German,camera,nouns,household,Kamera,kamera
German,can (auxiliary),function_words,helping_verbs,kann,kann
German,can (auxiliary),function_words,helping_verbs,können,können
German,car,nouns,vehicles,Auto,auto
German,careful,adjectives,descriptive_words,vorsichtig,vorsichtig
German,carry,verbs,action_words,tragen,tragen
German,cat,nouns,animals,Katze,katze
German,catch,verbs,action_words,fangen,fangen
German,cereal,nouns,food_drink,Müsli,müsli
German,cheek,nouns,body_parts,Wange,wange
German,cheese,nouns,food_drink,Käse,käse
German,chick,nouns,animals,Küken,küken
